date,player_id,player_name,team,prop_type,lineup_status,lineup_position,verdict,logged_at,actual_result,actual_stat_value,model_probability,sportsbook_odds,sportsbook_line,implied_probability,edge,best_book,xba,xwoba,hard_hit_pct,sweet_spot_pct,whiff_pct,ev50,exit_velocity,barrel_pct,hr_fb_ratio,launch_angle_pct,pitcher_xera,pitcher_hr9,park_factor,platoon_adv,weather_adjustment
2026-05-01,500743,Miguel Rojas,LAD,hit,probable_recent,6,LEAN,2026-05-02T03:04:41.846523+00:00,0,0.0,0.6052,,,,,,0.21,0.384,0.0,0.0,0.0,0.0,,0.0,0.0,,5.82,2.0,0.5714285714285714,0.38,0.0
2026-05-01,502671,Paul Goldschmidt,NYY,hit,official,1,LEAN,2026-05-02T03:04:41.838323+00:00,0,0.0,0.6469,,,,,,0.277,0.405,0.5,0.45,0.145,102.600371,,0.152,0.0,,3.64,1.65,0.5714285714285714,0.38,0.0
2026-05-01,514888,Jose Altuve,HOU,hit,official,5,NO,2026-05-02T03:04:41.848541+00:00,1,1.0,0.5753,,,,,,0.252,0.324,0.364,0.318,0.244,97.423780682,,0.047,0.0,,0.0,1.8,0.5714285714285714,0.38,0.0
2026-05-01,518692,Freddie Freeman,LAD,hit,probable_recent,2,YES,2026-05-02T03:04:41.834063+00:00,1,2.0,0.6627,+2,0.5,0.9804,-0.3177,DraftKings,0.297,0.391,0.48,0.363,0.191,101.60639,,0.109,0.0,,5.82,2.0,0.5714285714285714,0.62,0.0
2026-05-01,542303,Marcell Ozuna,PIT,hit,official,6,NO,2026-05-02T03:04:41.848541+00:00,1,1.0,0.595,+1,0.5,0.9901,-0.3951,DraftKings,0.219,0.292,0.371,0.357,0.274,99.421738,,0.056,0.0,,5.35,1.95,0.5714285714285714,0.38,0.0
2026-05-01,543807,George Springer,TOR,hit,probable_recent,1,NO,2026-05-02T03:04:41.848541+00:00,1,1.0,0.5945,+1,0.5,0.9901,-0.3956,DraftKings,0.213,0.303,0.422,0.267,0.234,99.256705217,,0.059,0.0,,4.82,2.08,0.5714285714285714,0.38,0.0
2026-05-01,545121,Ildemaro Vargas,AZ,hit,official,2,LEAN,2026-05-02T03:04:41.840343+00:00,1,4.0,0.631,+1,0.5,0.9901,-0.3591,DraftKings,0.351,0.384,0.35,0.4,0.169,98.518323077,,0.053,0.0,,4.27,0.83,0.5714285714285714,0.55,0.0
2026-05-01,547180,Bryce Harper,PHI,hit,official,2,LEAN,2026-05-02T03:04:41.838323+00:00,1,1.0,0.6418,,,,,,0.266,0.389,0.376,0.355,0.283,100.228767447,,0.091,0.0,,5.15,1.49,0.5714285714285714,0.62,0.0
2026-05-01,571448,Nolan Arenado,AZ,hit,official,7,NO,2026-05-02T03:04:41.848541+00:00,1,1.0,0.5877,+1,0.5,0.9901,-0.4024,DraftKings,0.261,0.307,0.253,0.342,0.259,94.935173,,0.057,0.0,,4.27,0.83,0.5714285714285714,0.38,0.0
2026-05-01,572233,Christian Walker,HOU,hit,official,4,NO,2026-05-02T03:04:41.848541+00:00,1,1.0,0.5895,,,,,,0.267,0.362,0.489,0.309,0.266,102.426722979,,0.092,0.0,,0.0,1.8,0.5714285714285714,0.38,0.0
2026-05-01,573262,Mike Yastrzemski,ATL,hit,probable_recent,8,LEAN,2026-05-02T03:04:41.843118+00:00,0,0.0,0.623,,,,,,0.22,0.264,0.394,0.288,0.254,98.785009394,,0.02,0.0,,5.35,1.85,0.5714285714285714,0.62,0.0
2026-05-01,575929,Willson Contreras,BOS,hit,official,2,LEAN,2026-05-02T03:04:41.846523+00:00,1,1.0,0.6088,,,,,,0.269,0.408,0.486,0.347,0.361,104.416624571,,0.102,0.0,,3.85,1.91,0.5714285714285714,0.38,0.0
2026-05-01,592450,Aaron Judge,NYY,hit,official,3,LEAN,2026-05-02T03:04:41.838323+00:00,1,2.0,0.6426,+1,0.5,0.9901,-0.3475,DraftKings,0.283,0.455,0.541,0.378,0.339,105.449668649,,0.148,0.0,,3.64,1.65,0.5714285714285714,0.38,0.0
